Games_ID,Games,Year,Season_ID,City
1,1896 Summer,1896,1,Athina
2,1900 Summer,1900,1,Paris
3,1904 Summer,1904,1,St. Louis
4,1906 Summer,1906,1,Athina
5,1908 Summer,1908,1,London
6,1912 Summer,1912,1,Stockholm
7,1920 Summer,1920,1,Antwerpen
8,1924 Summer,1924,1,Paris
9,1924 Winter,1924,2,Chamonix
10,1928 Summer,1928,1,Amsterdam
11,1928 Winter,1928,2,Sankt Moritz
12,1932 Summer,1932,1,Los Angeles
13,1932 Winter,1932,2,Lake Placid
14,1936 Summer,1936,1,Berlin
15,1936 Winter,1936,2,Garmisch-Partenkirchen
16,1948 Summer,1948,1,London
17,1948 Winter,1948,2,Sankt Moritz
18,1952 Summer,1952,1,Helsinki
19,1952 Winter,1952,2,Oslo
20,1956 Summer,1956,1,Stockholm
21,1956 Summer,1956,1,Melbourne
22,1956 Winter,1956,2,Cortina d'Ampezzo
23,1960 Summer,1960,1,Roma
24,1960 Winter,1960,2,Squaw Valley
25,1964 Summer,1964,1,Tokyo
26,1964 Winter,1964,2,Innsbruck
27,1968 Summer,1968,1,Mexico City
28,1968 Winter,1968,2,Grenoble
29,1972 Summer,1972,1,Munich
30,1972 Winter,1972,2,Sapporo
31,1976 Summer,1976,1,Montreal
32,1976 Winter,1976,2,Innsbruck
33,1980 Summer,1980,1,Moskva
34,1980 Winter,1980,2,Lake Placid
35,1984 Summer,1984,1,Los Angeles
36,1984 Winter,1984,2,Sarajevo
37,1988 Summer,1988,1,Seoul
38,1988 Winter,1988,2,Calgary
39,1992 Summer,1992,1,Barcelona
40,1992 Winter,1992,2,Albertville
41,1994 Winter,1994,2,Lillehammer
42,1996 Summer,1996,1,Atlanta
43,1998 Winter,1998,2,Nagano
44,2000 Summer,2000,1,Sydney
45,2002 Winter,2002,2,Salt Lake City
46,2004 Summer,2004,1,Athina
47,2006 Winter,2006,2,Torino
48,2008 Summer,2008,1,Beijing
49,2010 Winter,2010,2,Vancouver
50,2012 Summer,2012,1,London
51,2014 Winter,2014,2,Sochi
52,2016 Summer,2016,1,Rio de Janeiro
