Sport_ID,Sport
1,Aeronautics Mixed Aeronautics
2,Alpine Skiing Men's Combined
3,Alpine Skiing Men's Downhill
4,Alpine Skiing Men's Giant Slalom
5,Alpine Skiing Men's Slalom
6,Alpine Skiing Men's Super G
7,Alpine Skiing Women's Combined
8,Alpine Skiing Women's Downhill
9,Alpine Skiing Women's Giant Slalom
10,Alpine Skiing Women's Slalom
11,Alpine Skiing Women's Super G
12,Alpinism Mixed Alpinism
13,"Archery Men's Au Chapelet, 33 metres"
14,"Archery Men's Au Chapelet, 50 metres"
15,"Archery Men's Au Cordon Dore, 33 metres"
16,"Archery Men's Au Cordon Dore, 50 metres"
17,Archery Men's Championnat Du Monde
18,Archery Men's Continental Style
19,Archery Men's Double American Round
20,Archery Men's Double York Round
21,Archery Men's Individual
22,"Archery Men's Pole Archery, Large Birds, Individual"
23,"Archery Men's Pole Archery, Large Birds, Team"
24,"Archery Men's Pole Archery, Small Birds, Individual"
25,"Archery Men's Pole Archery, Small Birds, Team"
26,Archery Men's Sur La Perche a La Herse
27,Archery Men's Sur La Perche a La Pyramide
28,"Archery Men's Target Archery, 28 metres, Individual"
29,"Archery Men's Target Archery, 28 metres, Team"
30,"Archery Men's Target Archery, 33 metres, Individual"
31,"Archery Men's Target Archery, 33 metres, Team"
32,"Archery Men's Target Archery, 50 metres, Individual"
33,"Archery Men's Target Archery, 50 metres, Team"
34,Archery Men's Team
35,Archery Men's Team Round
36,Archery Men's Unknown Event
37,Archery Women's Double Columbia Round
38,Archery Women's Double National Round
39,Archery Women's Individual
40,Archery Women's Team
41,Archery Women's Team Round
42,Art Competitions Mixed Architecture
43,"Art Competitions Mixed Architecture, Architectural Designs"
44,"Art Competitions Mixed Architecture, Designs For Town Planning"
45,"Art Competitions Mixed Architecture, Unknown Event"
46,Art Competitions Mixed Literature
47,"Art Competitions Mixed Literature, Dramatic Works"
48,"Art Competitions Mixed Literature, Epic Works"
49,"Art Competitions Mixed Literature, Lyric Works"
50,"Art Competitions Mixed Literature, Unknown Event"
51,Art Competitions Mixed Music
52,"Art Competitions Mixed Music, Compositions For Orchestra"
53,"Art Competitions Mixed Music, Compositions For Solo Or Chorus"
54,"Art Competitions Mixed Music, Instrumental And Chamber"
55,"Art Competitions Mixed Music, Unknown Event"
56,"Art Competitions Mixed Music, Vocals"
57,Art Competitions Mixed Painting
58,"Art Competitions Mixed Painting, Applied Arts"
59,"Art Competitions Mixed Painting, Drawings And Water Colors"
60,"Art Competitions Mixed Painting, Graphic Arts"
61,"Art Competitions Mixed Painting, Paintings"
62,"Art Competitions Mixed Painting, Unknown Event"
63,Art Competitions Mixed Sculpturing
64,"Art Competitions Mixed Sculpturing, Medals"
65,"Art Competitions Mixed Sculpturing, Medals And Plaques"
66,"Art Competitions Mixed Sculpturing, Medals And Reliefs"
67,"Art Competitions Mixed Sculpturing, Reliefs"
68,"Art Competitions Mixed Sculpturing, Statues"
69,"Art Competitions Mixed Sculpturing, Unknown Event"
70,Art Competitions Mixed Unknown Event
71,"Athletics Men's 1,500 metres"
72,"Athletics Men's 1,500 metres Walk"
73,"Athletics Men's 1,600 metres Medley Relay"
74,Athletics Men's 10 kilometres Walk
75,Athletics Men's 10 mile Walk
76,"Athletics Men's 10,000 metres"
77,Athletics Men's 100 metres
78,Athletics Men's 110 metres Hurdles
79,"Athletics Men's 2,500 metres Steeplechase"
80,"Athletics Men's 2,590 metres Steeplechase"
81,Athletics Men's 20 kilometres Walk
82,Athletics Men's 200 metres
83,Athletics Men's 200 metres Hurdles
84,"Athletics Men's 3 mile, Team"
85,"Athletics Men's 3,000 metres Steeplechase"
86,"Athletics Men's 3,000 metres Walk"
87,"Athletics Men's 3,000 metres, Team"
88,"Athletics Men's 3,200 metres Steeplechase"
89,"Athletics Men's 3,500 metres Walk"
90,"Athletics Men's 4 mile, Team"
91,Athletics Men's 4 x 100 metres Relay
92,Athletics Men's 4 x 400 metres Relay
93,"Athletics Men's 4,000 metres Steeplechase"
94,Athletics Men's 400 metres
95,Athletics Men's 400 metres Hurdles
96,Athletics Men's 5 mile
97,"Athletics Men's 5,000 metres"
98,"Athletics Men's 5,000 metres, Team"
99,Athletics Men's 50 kilometres Walk
100,Athletics Men's 56-pound Weight Throw
101,Athletics Men's 60 metres
102,Athletics Men's 800 metres
103,Athletics Men's All-Around Championship
104,"Athletics Men's Cross-Country, Individual"
105,"Athletics Men's Cross-Country, Team"
106,Athletics Men's Decathlon
107,Athletics Men's Discus Throw
108,"Athletics Men's Discus Throw, Both Hands"
109,"Athletics Men's Discus Throw, Greek Style"
110,Athletics Men's Hammer Throw
111,Athletics Men's High Jump
112,Athletics Men's Javelin Throw
113,"Athletics Men's Javelin Throw, Both Hands"
114,"Athletics Men's Javelin Throw, Freestyle"
115,Athletics Men's Long Jump
116,Athletics Men's Marathon
117,Athletics Men's Pentathlon
118,Athletics Men's Pentathlon (Ancient)
119,Athletics Men's Pole Vault
120,Athletics Men's Shot Put
121,"Athletics Men's Shot Put, Both Hands"
122,Athletics Men's Standing High Jump
123,Athletics Men's Standing Long Jump
124,Athletics Men's Standing Triple Jump
125,Athletics Men's Stone Throw
126,Athletics Men's Triple Jump
127,"Athletics Women's 1,500 metres"
128,Athletics Women's 10 kilometres Walk
129,"Athletics Women's 10,000 metres"
130,Athletics Women's 100 metres
131,Athletics Women's 100 metres Hurdles
132,Athletics Women's 20 kilometres Walk
133,Athletics Women's 200 metres
134,"Athletics Women's 3,000 metres"
135,"Athletics Women's 3,000 metres Steeplechase"
136,Athletics Women's 4 x 100 metres Relay
137,Athletics Women's 4 x 400 metres Relay
138,Athletics Women's 400 metres
139,Athletics Women's 400 metres Hurdles
140,"Athletics Women's 5,000 metres"
141,Athletics Women's 80 metres Hurdles
142,Athletics Women's 800 metres
143,Athletics Women's Discus Throw
144,Athletics Women's Hammer Throw
145,Athletics Women's Heptathlon
146,Athletics Women's High Jump
147,Athletics Women's Javelin Throw
148,Athletics Women's Long Jump
149,Athletics Women's Marathon
150,Athletics Women's Pentathlon
151,Athletics Women's Pole Vault
152,Athletics Women's Shot Put
153,Athletics Women's Triple Jump
154,Badminton Men's Doubles
155,Badminton Men's Singles
156,Badminton Mixed Doubles
157,Badminton Women's Doubles
158,Badminton Women's Singles
159,Baseball Men's Baseball
160,Basketball Men's Basketball
161,Basketball Women's Basketball
162,Basque Pelota Men's Two-Man Teams With Cesta
163,Beach Volleyball Men's Beach Volleyball
164,Beach Volleyball Women's Beach Volleyball
165,Biathlon Men's 10 kilometres Sprint
166,Biathlon Men's 12.5 kilometres Pursuit
167,Biathlon Men's 15 kilometres Mass Start
168,Biathlon Men's 20 kilometres
169,Biathlon Men's 4 x 7.5 kilometres Relay
170,Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay
171,Biathlon Women's 10 kilometres Pursuit
172,Biathlon Women's 12.5 kilometres Mass Start
173,Biathlon Women's 15 kilometres
174,Biathlon Women's 3 x 7.5 kilometres Relay
175,Biathlon Women's 4 x 6 kilometres Relay
176,Biathlon Women's 4 x 7.5 kilometres Relay
177,Biathlon Women's 7.5 kilometres Sprint
178,Bobsleigh Men's Four
179,Bobsleigh Men's Four/Five
